(de,9278419)
(shi,7286114)
(yi,6362475)
(ta,4532332)
(le,3819340)
(bu,3638795)
(wo,3303735)
(you,2963159)
(zai,2609194)
(zhi,2547229)
(ren,2435369)
(li,2421032)
(dao,2352453)
(zhe,2319684)
(ji,2196797)
(zi,2182278)
(ge,2147068)
(,2131031)
(xiang,1859871)
(di,1812410)
(qi,1756045)
(wei,1753038)
(lai,1730570)
(jiu,1704881)
(shang,1693497)
(shuo,1682029)
(men,1672623)
(ni,1666733)
(da,1583618)
(na,1566443)
(er,1547359)
(zhuo,1472596)
(ye,1452432)
(shen,1388382)
(zhong,1375166)
(guo,1357596)
(hui,1328076)
(he,1286401)
(jian,1285101)
(mei,1279817)
(ke,1249998)
(chu,1249173)
(xiao,1244426)
(sheng,1221439)
(ba,1199506)
(yu,1199423)
(jing,1168994)
(qu,1154899)
(wu,1110236)
(yao,1109379)
(fu,1105340)
(hai,1084920)
(jin,1063920)
(xi,1054574)
(si,1050861)
(jia,1035195)
(xin,1014211)
(me,1011101)
(xian,1006881)
